SSD Data - June21-July2 12h increments
From Auckland, Astrometric RA and DEC
19 01 43.15 -20 39 34.8
19 01 40.14 -20 39 42.0
19 01 37.09 -20 39 48.9
19 01 34.06 -20 39 56.2
19 01 31.00 -20 40 03.2
19 01 27.96 -20 40 10.5
19 01 24.88 -20 40 17.5
19 01 21.82 -20 40 24.8
19 01 18.73 -20 40 31.9
19 01 15.65 -20 40 39.3
19 01 12.55 -20 40 46.4
19 01 09.46 -20 40 53.8
19 01 06.35 -20 41 01.0
19 01 03.25 -20 41 08.4
19 01 00.13 -20 41 15.6
19 00 57.01 -20 41 23.2
19 00 53.88 -20 41 30.4
19 00 50.76 -20 41 37.9
19 00 47.62 -20 41 45.2
19 00 44.50 -20 41 52.8
19 00 41.35 -20 42 00.1
19 00 38.21 -20 42 07.7
19 00 35.06 -20 42 15.1
