SSD Data - June29-June30 1h increments
From Auckland
19 00 53.88 -20 41 30.4
19 00 53.63 -20 41 31.0
19 00 53.37 -20 41 31.6
19 00 53.11 -20 41 32.2
19 00 52.86 -20 41 32.9
19 00 52.60 -20 41 33.5
19 00 52.34 -20 41 34.1
19 00 52.08 -20 41 34.8
19 00 51.82 -20 41 35.4
19 00 51.55 -20 41 36.1
19 00 51.29 -20 41 36.7
19 00 51.03 -20 41 37.3
19 00 50.76 -20 41 37.9
19 00 50.50 -20 41 38.6
19 00 50.23 -20 41 39.2
19 00 49.97 -20 41 39.8
19 00 49.70 -20 41 40.4
19 00 49.44 -20 41 41.0
19 00 49.18 -20 41 41.6
19 00 48.92 -20 41 42.2
19 00 48.66 -20 41 42.8
19 00 48.40 -20 41 43.4
19 00 48.14 -20 41 44.0
19 00 47.88 -20 41 44.6
19 00 47.62 -20 41 45.2
